email_id,sender,receiver,subject,body,date
1,tradingdesk@bank.com,ops_team@bank.com,Request for SSI (Standard Settlement Instructions) Update,"Hi Team,

The trade ID T640196 has failed to settle. Please investigate the reason and confirm the resolution plan.

Regards,
settlements@bank.com",2025-01-22 07:12:22
2,tradingdesk@bank.com,risk_mgmt@bank.com,Settlement Instruction - Equity Trade,"Dear Team,

Please confirm the settlement of trade ID T354223 for ISIN XX3041492476 with counterparty Bank A. Settlement date: 2025-02-10.

Best regards,
settlements@bank.com",2025-02-07 07:12:22
3,custodian@financegroup.com,compliance@bank.com,Trade Confirmation for ISIN XX1234567890,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T508760. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-02-06 07:12:22
4,tradingdesk@bank.com,compliance@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Risk Management,

Please ensure the reporting of trade T396544 under regulatory guidelines before 2025-02-20.

Thanks,
tradingdesk@bank.com",2025-01-22 07:12:22
5,tradingdesk@bank.com,compliance@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Risk Management,

Please ensure the reporting of trade T594508 under regulatory guidelines before 2025-02-22.

Thanks,
settlements@bank.com",2025-01-22 07:12:22
6,tradingdesk@bank.com,compliance@bank.com,Dispute Resolution - Mismatched Settlement Date,"Hello,

Kindly process the settlement instruction for trade reference T551490 on settlement date 2025-02-18. Attached are the details.

Thanks,
operations@clearinghouse.com",2025-02-17 07:12:22
7,custodian@financegroup.com,risk_mgmt@bank.com,Dispute Resolution - Mismatched Settlement Date,"Attention Operations,

A corporate action has been announced for ISIN XX4394058298. Please find details attached.

Best,
operations@clearinghouse.com",2025-02-10 07:12:22
8,settlements@bank.com,ops_team@bank.com,Reconciliation Query - Discrepancy in Trade Settlement,"Hello,

Kindly process the settlement instruction for trade reference T526532 on settlement date 2025-02-16. Attached are the details.

Thanks,
tradingdesk@bank.com",2025-01-30 07:12:22
9,settlements@bank.com,risk_mgmt@bank.com,Corporate Action Notification - Mandatory Event,"Dear Team,

Please confirm the settlement of trade ID T505746 for ISIN XX6877588302 with counterparty Investment Firm B. Settlement date: 2025-02-27.

Best regards,
custodian@financegroup.com",2025-02-04 07:12:22
10,operations@clearinghouse.com,traders@investmentfirm.com,Collateral Movement Confirmation,"Dear Team,

Please confirm the settlement of trade ID T446963 for ISIN XX6566169703 with counterparty Bank A. Settlement date: 2025-02-13.

Best regards,
operations@clearinghouse.com",2025-02-04 07:12:22
11,custodian@financegroup.com,ops_team@bank.com,Trade Confirmation for ISIN XX1234567890,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T540359. Please review the attached report and advise on corrective action.

Regards,
operations@clearinghouse.com",2025-02-01 07:12:22
12,tradingdesk@bank.com,compliance@bank.com,Settlement Instruction - Equity Trade,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T245447. Please review the attached report and advise on corrective action.

Regards,
tradingdesk@bank.com",2025-01-23 07:12:22
13,tradingdesk@bank.com,ops_team@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T631117. Please review the attached report and advise on corrective action.

Regards,
tradingdesk@bank.com",2025-02-14 07:12:22
14,settlements@bank.com,traders@investmentfirm.com,Regulatory Compliance: Transaction Reporting,"Dear Compliance,

We have identified a discrepancy in the settlement of trade T970431. Please review the attached report and advise on corrective action.

Regards,
settlements@bank.com",2025-02-06 07:12:22
15,custodian@financegroup.com,risk_mgmt@bank.com,Regulatory Compliance: Transaction Reporting,"Dear Risk Management,

Please ensure the reporting of trade T340368 under regulatory guidelines before 2025-02-23.

Thanks,
custodian@financegroup.com",2025-01-22 07:12:22
16,settlements@bank.com,traders@investmentfirm.com,Trade Amendment Request,"Hello,

Kindly process the settlement instruction for trade reference T250297 on settlement date 2025-02-18. Attached are the details.

Thanks,
custodian@financegroup.com",2025-02-11 07:12:22
